Date,Time,VOLTAGE,CURRENT,PF,POWER (KW),"""WEEKEND/WEEKDAY""",SEASON,Temp (F),Humidity (%)
1/1/2021,0:00:00,11.6,102,0.96,1967.388015,0,1,65,90
1/1/2021,1:00:00,11.6,102,0.96,1967.388015,0,1,65,90
1/1/2021,2:00:00,11.6,102,0.96,1967.388015,0,1,65,90
1/1/2021,3:00:00,11.3,130,0.96,2442.607331,0,1,78,49
1/1/2021,4:00:00,11.2,148,0.96,2756.205522,0,1,78,49
1/1/2021,5:00:00,11.2,172,0.96,3203.157769,0,1,78,49
1/1/2021,6:00:00,11.5,218,0.96,4168.56132,0,1,83,34
1/1/2021,7:00:00,11.2,274,0.96,5102.704818,0,1,83,34
1/1/2021,8:00:00,11.2,280,0.96,5214.442879,0,1,83,34
1/1/2021,9:00:00,11.5,254,0.96,4856.947593,0,1,81,42
1/1/2021,10:00:00,11.5,254,0.96,4856.947593,0,1,81,42
1/1/2021,11:00:00,11.5,243,0.96,4646.607342,0,1,81,42
1/1/2021,12:00:00,11.6,231,0.96,4455.55521,0,1,71,42
1/1/2021,13:00:00,11.8,214,0.96,4198.823711,0,1,71,87
1/1/2021,14:00:00,11.8,205,0.96,4022.237667,0,1,71,87
1/1/2021,15:00:00,11.7,215,0.96,4182.694854,0,1,67,87
1/1/2021,16:00:00,11.5,194,0.96,3709.637138,0,1,67,87
1/1/2021,17:00:00,11.7,44,0.96,855.9933655,0,1,67,87
1/1/2021,18:00:00,11.8,42,0.96,824.068205,0,1,66,88
1/1/2021,19:00:00,11.8,39,0.96,765.2061904,0,1,66,88
1/1/2021,20:00:00,11.8,30,0.96,588.6201464,0,1,66,88
1/1/2021,21:00:00,11.8,25,0.96,490.5167887,0,1,62,89
1/1/2021,22:00:00,11.8,22,0.96,431.6547741,0,1,62,89
1/1/2021,23:00:00,11.8,21,0.96,412.0341025,0,1,62,89
1/2/2021,0:00:00,11.7,95,0.95,1828.915749,0,1,65,90
1/2/2021,1:00:00,11.7,95,0.95,1828.915749,0,1,65,90
1/2/2021,2:00:00,11.7,95,0.95,1828.915749,0,1,65,90
1/2/2021,3:00:00,11.5,100,0.95,1892.265507,0,1,78,48
1/2/2021,4:00:00,11.4,135,0.95,2532.344883,0,1,78,48
1/2/2021,5:00:00,11.3,162,0.95,3012.157598,0,1,78,48
1/2/2021,6:00:00,11.5,213,0.95,4030.52553,0,1,83,32
1/2/2021,7:00:00,11.3,257,0.95,4778.546313,0,1,83,32
1/2/2021,8:00:00,11.3,258,0.95,4797.139878,0,1,83,32
1/2/2021,9:00:00,11.3,262,0.95,4871.51414,0,1,80,38
1/2/2021,10:00:00,11.5,260,0.95,4919.890319,0,1,80,38
1/2/2021,11:00:00,11.6,256,0.95,4886.323174,0,1,80,38
1/2/2021,12:00:00,11.9,221,0.95,4327.364398,0,1,71,73
1/2/2021,13:00:00,11.6,225,0.95,4294.619977,0,1,71,73
1/2/2021,14:00:00,11.7,222,0.95,4273.887329,0,1,71,73
1/2/2021,15:00:00,11.7,208,0.95,4004.362903,0,1,67,88
1/2/2021,16:00:00,11.9,190,0.95,3720.358532,0,1,67,88
1/2/2021,17:00:00,11.7,46,0.95,885.5802574,0,1,67,88
1/2/2021,18:00:00,11.8,43,0.95,834.9004508,0,1,66,88
1/2/2021,19:00:00,11.8,40,0.95,776.6515821,0,1,66,88
1/2/2021,20:00:00,11.8,34,0.95,660.1538448,0,1,66,88
1/2/2021,21:00:00,11.8,26,0.95,504.8235284,0,1,62,89
1/2/2021,22:00:00,11.8,23,0.95,446.5746597,0,1,62,89
1/2/2021,23:00:00,11.6,114,0.95,2175.940789,0,1,62,89
1/3/2021,0:00:00,11.8,114,0.96,2236.756556,1,1,65,92
1/3/2021,1:00:00,11.8,114,0.96,2236.756556,1,1,65,92
1/3/2021,2:00:00,11.8,120,0.96,2354.480586,1,1,65,92
1/3/2021,3:00:00,11.8,128,0.96,2511.445958,1,1,77,52
1/3/2021,4:00:00,11.8,143,0.96,2805.756031,1,1,77,52
1/3/2021,5:00:00,11.5,168,0.96,3212.469274,1,1,77,52
1/3/2021,6:00:00,11.6,233,0.96,4494.131446,1,1,82,33
1/3/2021,7:00:00,11.4,290,0.96,5497.113571,1,1,82,33
1/3/2021,8:00:00,11.3,266,0.96,4997.950385,1,1,82,33
1/3/2021,9:00:00,11.4,279,0.96,5288.602367,1,1,80,41
1/3/2021,10:00:00,11.4,272,0.96,5155.913418,1,1,80,41
1/3/2021,11:00:00,11.7,266,0.96,5174.868982,1,1,80,41
1/3/2021,12:00:00,11.8,254,0.96,4983.650573,1,1,71,76
1/3/2021,13:00:00,11.8,254,0.96,4983.650573,1,1,71,76
1/3/2021,14:00:00,11.8,242,0.96,4748.202515,1,1,71,76
1/3/2021,15:00:00,11.2,230,0.96,4283.292365,1,1,68,85
1/3/2021,16:00:00,11.5,181,0.96,3461.053206,1,1,68,85
1/3/2021,17:00:00,11.6,43,0.96,829.3890651,1,1,68,85
1/3/2021,18:00:00,11.7,43,0.96,836.5389708,1,1,64,89
1/3/2021,19:00:00,11.7,39,0.96,758.7213922,1,1,64,89
1/3/2021,20:00:00,11.7,35,0.96,680.9038135,1,1,64,89
1/3/2021,21:00:00,11.8,29,0.96,568.9994749,1,1,67,88
1/3/2021,22:00:00,11.8,22,0.96,431.6547741,1,1,67,88
1/3/2021,23:00:00,11.8,22,0.96,431.6547741,1,1,67,88
1/4/2021,0:00:00,11.8,114,0.97,2260.056104,0,1,68,88
1/4/2021,1:00:00,11.8,114,0.97,2260.056104,0,1,68,88
1/4/2021,2:00:00,11.8,114,0.97,2260.056104,0,1,68,88
1/4/2021,3:00:00,11.7,130,0.97,2555.4158,0,1,77,54
1/4/2021,4:00:00,11.6,146,0.97,2845.39921,0,1,77,54
1/4/2021,5:00:00,11.5,159,0.97,3072.043255,0,1,77,54
1/4/2021,6:00:00,11.6,250,0.97,4872.258922,0,1,83,32
1/4/2021,7:00:00,11.6,262,0.97,5106.12735,0,1,83,32
1/4/2021,8:00:00,11.6,262,0.97,5106.12735,0,1,83,32
1/4/2021,9:00:00,11.6,269,0.97,5242.5506,0,1,80,35
1/4/2021,10:00:00,11.8,250,0.97,4956.263386,0,1,80,35
1/4/2021,11:00:00,11.7,227,0.97,4462.149128,0,1,80,35
1/4/2021,12:00:00,11.7,220,0.97,4324.549815,0,1,72,70
1/4/2021,13:00:00,11.4,210,0.97,4022.133744,0,1,72,70
1/4/2021,14:00:00,11.4,220,0.97,4213.663923,0,1,72,70
1/4/2021,15:00:00,11.2,226,0.97,4252.641994,0,1,68,83
1/4/2021,16:00:00,11.3,218,0.97,4138.731941,0,1,68,83
1/4/2021,17:00:00,11.6,42,0.97,818.5394988,0,1,68,83
1/4/2021,18:00:00,11.6,42,0.97,818.5394988,0,1,66,88
1/4/2021,19:00:00,11.8,41,0.97,812.8271953,0,1,66,88
1/4/2021,20:00:00,11.8,33,0.97,654.2267669,0,1,66,88
1/4/2021,21:00:00,11.8,26,0.97,515.4513921,0,1,63,87
1/4/2021,22:00:00,11.8,23,0.97,455.9762315,0,1,63,87
1/4/2021,23:00:00,11.7,106,0.97,2083.646729,0,1,63,87
1/5/2021,0:00:00,11.7,106,0.96,2062.165835,0,1,66,90
1/5/2021,1:00:00,11.7,106,0.96,2062.165835,0,1,66,90
