VOLTAGE,CURRENT,PF,PowerConsumption_Zone1,WEEKEND/WEEKDAY,SEASON,Temp_(F),Humidity_(%),Datetime,hour,day,month,dayofweek,quarter,is_weekend,hour_sin,hour_cos,month_sin,month_cos,day_sin,day_cos,power_roll_mean_24,power_roll_std_24,power_roll_max_24,power_roll_min_24,power_lag_1,power_lag_24,power_lag_168,power_diff_1,power_diff_24,LSTM_Prediction,Actual_Power
11.5,69,0.92,1264.431731,0,0,87,48,2021-10-20 04:00:00,4,20,10,2,4,0,0.8660254037844386,0.5000000000000001,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,1429.7898128416666,264.475523028361,1924.414102,950.4282396,1264.431731,1574.299084,2659.307672,0.0,-309.8673530000001,1088.5924,1264.4317309999997
11.5,69,0.92,1264.431731,0,0,87,48,2021-10-20 05:00:00,5,20,10,2,4,0,0.9659258262890683,0.25881904510252074,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,1416.8786731333332,264.6776199503915,1924.414102,950.4282396,1264.431731,1574.299084,2705.962192,0.0,-309.8673530000001,1155.9242,1264.4317309999997
11.5,86,0.92,1575.958389,0,0,91,42,2021-10-20 06:00:00,6,20,10,2,4,0,1.0,6.123233995736766e-17,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,1417.52321255,265.0611012408255,1924.414102,950.4282396,1264.431731,1560.489443,3440.770891,311.526658,15.46894599999996,1224.4773,1575.958389
11.4,99,0.92,1798.409138,0,0,91,42,2021-10-20 07:00:00,7,20,10,2,4,0,0.9659258262890683,-0.25881904510252063,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,1422.2308400499999,270.96367241852465,1924.414102,950.4282396,1575.958389,1685.426078,3735.69411,222.4507490000001,112.98306000000002,1479.2393,1798.4091380000002
11.4,93,0.92,1689.414645,0,0,91,42,2021-10-20 08:00:00,8,20,10,2,4,0,0.8660254037844387,-0.4999999999999998,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,1423.1687455499998,271.88479356669035,1924.414102,950.4282396,1798.409138,1666.904913,3801.510309,-108.99449299999992,22.509731999999985,1682.657,1689.414645
11.4,98,0.92,1780.243389,0,0,87,59,2021-10-20 09:00:00,9,20,10,2,4,0,0.7071067811865476,-0.7071067811865475,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,1426.3477515916666,275.7293909892245,1924.414102,950.4282396,1689.414645,1703.947244,3898.984932,90.82874399999992,76.29614500000002,1620.7454,1780.243389
11.4,98,0.92,1780.243389,0,0,87,59,2021-10-20 10:00:00,10,20,10,2,4,0,0.49999999999999994,-0.8660254037844387,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,1436.6888165916664,284.38453995270663,1924.414102,950.4282396,1780.243389,1532.057829,3775.017206,0.0,248.1855599999999,1652.038,1780.243389
11.4,104,0.92,1889.237882,0,0,87,59,2021-10-20 11:00:00,11,20,10,2,4,0,0.258819045102521,-0.9659258262890682,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,1447.4961207999997,296.7062986786781,1924.414102,950.4282396,1780.243389,1629.862581,3735.69411,108.99449299999992,259.3753009999998,1663.1649,1889.2378820000001
11.4,108,0.92,1961.900878,0,0,81,78,2021-10-20 12:00:00,12,20,10,2,4,0,1.2246467991473532e-16,-1.0,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,1465.9613412583333,314.5839546771017,1961.900878,950.4282396,1889.237882,1518.735587,2667.305589,72.66299600000002,443.165291,1704.1938,1961.900878
11.4,108,0.92,1961.900878,0,0,81,78,2021-10-20 13:00:00,13,20,10,2,4,0,-0.2588190451025208,-0.9659258262890683,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,1479.7962703,329.0730833233884,1961.900878,950.4282396,1961.900878,1629.862581,3363.124439,0.0,332.03829699999983,1741.677,1961.900878
